gameDate,gamePk,gameGuid,link,gameType,season,officialDate,description,dayNight,gamedayType,doubleHeader,tiebreaker,seriesDescription,seriesGameNumber,gamesInSeries,gameNumber,status_abstractGameState,status_detailedState,venue_id,venue_name,home_team_id,home_team_name,home_team_abbreviation,home_score,home_isWinner,away_team_id,away_team_name,away_team_abbreviation,away_score,away_isWinner,playerId,fullName,firstName,lastName,primaryNumber,birthDate,currentAge,height,weight,primaryPosition_code,primaryPosition_name,batSide_code,batSide_description,pitchHand_code,pitchHand_description,gameLogSummary,note,atBats,hits,doubles,triples,homeRuns,rbi,runs,strikeOuts,baseOnBalls,stolenBases,caughtStealing,groundIntoDoublePlay,plateAppearances,totalBases,inningsPitched,earnedRuns,hitsAllowed,homeRunsAllowed,strikeOutsPitching,baseOnBallsPitching,pitchesThrown,wins,losses,saves
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,669456,Shane Bieber,Shane,Bieber,57,1995-05-31,31,"6' 3""",200,1,Pitcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,693686,Spencer Miles,Spencer,Miles,62,2000-07-26,26,"6' 3""",180,1,Pitcher,L,Left,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,667755,José Soriano,José,Soriano,40,1998-10-20,27,"6' 3""",220,1,Pitcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,686973,Louis Varland,Louis,Varland,77,1997-12-09,28,"6' 1""",205,1,Pitcher,L,Left,R,Right,"1.0 IP, 0 ER, K, 0 BB",,,,,,,,,,,,,,,,1.0,0,1,0,1,0,15,0,0,1
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,663893,Brendon Little,Brendon,Little,54,1996-08-11,30,"6' 2""",195,1,Pitcher,L,Left,L,Left,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,680573,Simeon Woods Richardson,Simeon,Woods Richardson,10,2000-09-27,25,"6' 3""",210,1,Pitcher,R,Right,R,Right,"3.0 IP, ER, 2 K, BB",,,,,,,,,,,,,,,,3.0,1,4,0,2,1,45,1,0,0
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,676391,Ernie Clement,Ernie,Clement,22,1996-03-22,30,"6' 0""",170,4,Second Base,R,Right,R,Right,0-1,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,807727,Charles McAdoo,Charles,McAdoo,26,2002-03-06,24,"6' 0""",210,4,Second Base,R,Right,R,Right,"1-2 | HR, BB, RBI",,2,1,0,0,1,1,1,0,1,0,0,0,3,4,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,592791,Jameson Taillon,Jameson,Taillon,56,1991-11-18,34,"6' 5""",230,1,Pitcher,R,Right,R,Right,"4.0 IP, 0 ER, 3 K, 3 BB",,,,,,,,,,,,,,,,4.0,0,1,0,3,3,61,0,0,0
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,665926,Andrés Giménez,Andrés,Giménez,0,1998-09-04,27,"5' 11""",161,6,Shortstop,L,Left,R,Right,"1-4 | 2 K, RBI, SB",,4,1,0,0,0,1,0,2,0,1,0,0,4,1,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,678218,Brandon Valenzuela,Brandon,Valenzuela,59,2000-10-02,25,"6' 0""",225,2,Catcher,S,Switch,R,Right,1-3 | 2B,,3,1,1,0,0,0,0,0,0,0,0,0,3,2,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,656302,Dylan Cease,Dylan,Cease,84,1995-12-28,30,"6' 2""",200,1,Pitcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,703520,Brett Bateman,Brett,Bateman,21,2002-03-19,24,"5' 10""",170,8,Outfielder,L,Left,L,Left,1-4 | K,,4,1,0,0,0,0,0,1,0,0,0,0,4,1,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,664770,Nathan Lukes,Nathan,Lukes,38,1994-07-12,32,"5' 11""",180,9,Outfielder,L,Left,R,Right,0-4,,4,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,663362,Matt Waldron,Matthew,Waldron,64,1996-09-26,29,"6' 2""",185,1,Pitcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,822780,,/api/v1.1/game/822780/feed/live,R,2026,2026-08-10,,night,P,N,N,Regular Season,1,4,1,Final,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,2,True,111,Boston Red Sox,BOS,1,False,543807,George Springer,George,Springer,4,1989-09-19,36,"6' 1""",220,10,Designated Hitter,R,Right,R,Right,"1-4 | R, SB",,4,1,0,0,0,0,1,0,0,1,0,0,4,1,,,,,,,,,,
